title,release_date,album,lyrics
Ghini,2023-06-30,,"5 ContributorsGhini Lyrics[Letra de ""Ghini""]

[Verso 1]
Ando dando el rol por la ciudad en un Lambo
El tiempo en mi Cartier contando las horas que me quedan para ser feliz
Canto y canto
Ya no nos preocupamos tanto
Más billetes ya ni me aguanto
Ando mirando lo que nadie puede ver

[Coro]
Voy brindando en una Bentley, me pegó el placer y la loquera
Las ladys no son pa' siempre, pura modelito de primera
Más carbón que yo no hay donde
Mirando de arriba las estrellas
Ya se hizo larga la noche y los negocios siempre me esperan

[Interludio Instrumental]

[Verso 2]
Bien rodeado de amigos que cargo a mi lado
La súper siempre bien fajado
Me brillan los diamantes, cargo la del boss
Me despido, ya me puse alerta, un suspiro
A la familia mucho estimo, alegre es el amigo, todo se nos dio
You might also like[Coro]
Voy brindando en un Bentley, me pegó el placer y la loquera
Las ladys no son pa' siempre, pura modelito de primera
Más carbón que yo no hay donde
Mirando de arriba las estrellas
Ya se hizo larga la noche y los negocios siempre me esperan

[Outro Instrumental]Embed"
Yo Ya Sé,2020-09-9,,"6 ContributorsYo Ya Sé Lyrics[Letra de ""Yo Ya Sé""]

[Verso 1]
Yo ya sé que lo sentían
Lo que es el poder, lo que es estar bien arriba
Para que sepan ahorita traigo una línea
Que me respetan y hay pocos que se me animan
Y yo le pido al Señor
Que les dé cabeza pa' llegar a donde estoy
Los que en mí creyeron nomás fueron uno o dos
Más dura el que menos sabe en el negocio donde estoy

[Verso 2]
Ya le batallé bastante
Para llegar para arriba siempre le metimos puro pa'delante
Nunca me eché para atrás, la envidia nunca me importó
Yo soy brillante
Para que sepan, lo que sobra aquí es el jale
Y yo le digo al doctor
Que me recete un R pa' poderme dormir hoy
Mucha envidia y mucha gente lacra alrededor
No me espanto de nadie, para eso traigo un equipo

[Verso 3]
Prendo pa' andar volando, caminando y se ve lento
Un doble vaso con jarabe, bien contento
Preocupándome por lo que dicen que se siento
Ya le batallé bastante
Para llegar para arriba siempre le metimos puro pa'delante
Nunca me eché para atrás, la envidia nunca me importó
Yo soy brillante
Para que sepan, lo que sobra aquí es el jale
You might also like[Outro]
Corridos tumbados, viejones
Y puro Rancho Humilde
EahEmbed"
Morritas,2022-12-13,,"6 ContributorsMorritas Lyrics[Verso 1]
Me está marcando la morrita
Quiere que la vaya a ver ahorita
Le damos lo que necesita
Me abraza y siente la glocksita
Y adiamantado hasta los dientes
Piensan que uno es un delincuente
Por el humo y por este ambiente
Que porque ando con tanta gente

[Puente]
Para arriba pa' qué para abajo
No me pregunten qué traigo en el vaso
Dos Cayennes las que siguen el paso
Dos calacas las que trae en el brazo

[Coro]
Afirmativo 5 - 5 al tiro
En la Lamborghini pongo corridos
Ella le baja pa' no hacer más ruido
Su vato piensa que yo soy su amigo

Eah
Y así suenan los tumbados chiquitita
Ayay!
You might also like[Verso]
Hoy dominamos la balanza
Y aunque le pise, no me alcanza
Deportivo siempre les pasa
Quemando de una buena mata
Y ahora no más me ven pa'rriba
Llegan y me dicen que me estiman
Ni me conocen no más miran
Como me muevo, como brilla
Sus ojos me tienen envuelto
Su perfume con olor a cuerpo
Ni el viento me quita tus besos
Lo que vivimos fueron tiempos

[Puente]
Para arriba pa' qué para abajo
No me pregunten qué traigo en el vaso
Dos Cayennes las que siguen el paso
Dos calacas las que trae en el brazo

[Coro]
Afirmativo 5 - 5 al tiro
En la Lamborghini pongo corridos
Ella le baja pa' no hacer más ruido
Su vato piensa que yo soy su amigoEmbed"
Iniciales AL,2019-11-1,,"4 ContributorsIniciales AL Lyrics[Letra de ""Iniciales AL""]

[Verso]
Con un porte fino en las calles donde crecí
Quién diría que algún día yo iba a estar aquí
Sentado frente a esa gente que no creyó en mí
Ahora todo es diferente, ya sobresalí

Se murmura que este morro nada iba a lograr
Que la calle es el único lugar donde va
Un callejón sin salida, ya no podía más
Pero les tapé el hocico y ahora hablan de más

No porque tenga tropiezos ahí se va a quedar
Buen cerebro, inteligencia para prosperar
Con el tiempo, fui avanzando hacia un mejor lugar
Todavía no me encuentro donde quiero estar

[coro]
Ya les tapé el hocico más de una vez
Y, aunque les tires piedras, van a morder
Si ven que voy emputiza o por el freeway es porque ando bien
Hoy solo siento reír
No tengo motivo alguno por el cual no estar feliz
Con los lentes Gucci en la mirada y un traje elegante pa' vestir
Hoy ya no quiero parar
Ya retomé mi camino y las envidias para atrás
AL, la inicial es de aquel hombre de quien la gente fue a hablar
You might also likeSu compa', Natanael Cano, viejones, ¡ea!

Se murmura que este morro nada iba a lograr
Que la calle es el único lugar donde va
Un callejón sin salida, ya no podía más
Pero les tapé el hocico y ahora hablan de más

[verso ]
Batallando desde niño y no me fui pa'trás
La bendición de una madre y nada va a cambiar
El mayor de dos hermanos, todo va a lograr
Y este barco, con esfuerzo, se va a levantar
Mi San Judas me protege y es mi porvenir
California es el Estado y ahora estoy aquí
Generando de los verdes pa' vivir feliz
Con la familia en la mente y siempre ha sido así

[coro]
Ya les tapé el hocico más de una vez
Y, aunque les tires piedras, van a morder
Si ven que voy emputiza o por el freeway es porque ando bien
Hoy solo siento reír
No tengo motivo alguno por el cual no estar feliz
Con los lentes Gucci en la mirada y un traje elegante pa' vestir
Hoy ya no quiero parar
Ya retomé mi camino y las envidias para atrás
Ay, la inicial es de aquel hombre de quien la gente fue a hablarEmbed"
Ojo En La Mira,2019-06-21,,"2 ContributorsOjo En La Mira LyricsVerse 1
Que se ocupan mas de uno
Para tumbarme y les digo
Saben que altar es mi casa
Y el cazador anda al tiro
Ideales fue formando
Y con ellos tira casquillo

Bien graduado de la escuela
Para los altos fusiles
En el sinto la que luce tres ocho
Sus proyectiles
Blindadas veran por brecha
Cazando a los chapulines

Hay recuerdos de un gran hombre
Que ya no se encuentra en vida
El quince ya muy mencionado
Dejaste una gran herida
Sin olvidarme del cabe
Se le extraña y se le estima

Su legado sigue activo
Y sigue operando la linea
La clica de los paletas
Todos con el tiro arriba
Y al que me ande con mamadas
Lo mando pa la otra vida
You might also like
Verse 2
Que si sali de las calles
Eso no me hace corriente
Ya le batalle bastante
Pa estar donde todos quieren
Treinta trocas mi comando
Y el desierto esta caliente

Para tratar hay palabra
Y mi palabra la respetan
Para resolver problemas
Conozco muchas maneras
Y el que me invade el terreno
Pa contarlo no regresa

La vida me ha bendecido
Por la familia que tengo
Por ellos me la eh rifado
Que sepan cuanto los quiero
Y por donde quiera que yo ando
Aqui en el corazon los llevo

El ojo tengo en la mira
Y mi objetivo no descuido
Traigo muy buenos soldados
Con ellos agradecido
Nadie la piensa dos veces
Para jalarle al gatilloEmbed"
Se Murió,2020-09-9,,"2 ContributorsSe Murió Lyrics[Letra de ""Se Murió""]

[Verso]
Y se murió
La dulzura que tenías conmigo se te acabó
Los sentimientos falsos que te escribí en aquella canción
Fue tu mejor traición, me dolió el corazón
No va' a encontrar
A un niño que la quiera y que le den como le dan
Y en la cama su level nunca nadie se lo va a alcanzar
Niña mala, en verdad me pone a alucinar
Le gusta quemar
Un cigarrón de mota para la mente calmar
En la cama es buena, pero en la calle se vuelve más
Me deja sin hablar, me pones a temblar

[Coro]
Y ya presiento
El momento en que nos toque decir: ""Lo siento""
No podemos estar los dos sin uno, y es cierto
Que peleamos, pero eso no mata el sentimiento
Y duele más saber
Que no estás conmigo
Yo pierdo los sentidos

[Interludio]
Y puro Natanael Cano, viejones
Eah
You might also like[Coro]
Y ya presiento
El momento en que nos toque decir: ""Lo siento""
No podemos estar los dos sin uno, y es cierto
Que peleamos, pero eso no mata el sentimiento
Y duele más saber
Que no estás conmigo
Yo pierdo los sentidosEmbed"
Nataaoki,2022-04-8,,"7 ContributorsNataaoki Lyrics[Letra de ""Nataaoki"" ft. Steve Aoki]

[Intro: Natanael Cano]
Uh, yah
Steve Aoki
Dim Mak En Fuego
Ah, tonight is about having fun
Tonight is about getting drugged, drugged
I said ""Yes, don't leave without your gun""
Uh, yeah, uh, yeah
Ah, tonight is about having fun

[Coro: Natanael Cano]
Saquen las tachas, lavada, muchachas
La fiesta se enfiesta, que no se amanezca
Las niñas no rezan, van a discotecas
Se meten en éxta, la mente caliente
Y así es que comienza, y hasta que amanezca
Va fría, su meta comerse a la presa
Privada la mesa, solo van bellezas
Cien tragos, comienza, le gusta le mezcla y esto ya explotó (Fi-Fire!)
It's lit!
(Ah, ah)

[Drop]
You might also like[Refrán: Natanael Cano]
Me gusta cómo me mira
También me gusta su amiga
Baby, yo nunca me apago
Si me apago, traigo pila
No entiendo lo que yo siento
Yo no soy bueno, lo siento
A veces hablo, ni pienso
Pero me siento contento (Tonight is about having fun)
Me gusta cómo me mira
También me gusta su amiga
Baby, yo nunca me apago
(Tonight is about getting drugged, drugged)
Si me apago, traigo pila
No entiendo lo que yo siento
Yo no soy bueno, lo siento
A veces hablo, ni pienso
Pero me siento contento (Tonight)

[Coro: Natanael Cano]
Saquen las tachas, lavada, muchachas
La fiesta se enfiesta, que no se amanezca
Las niñas no rezan, van a discotecas
Se meten en éxta, la mente caliente
Y así es que comienza, y hasta que amanezca
Va fría, su meta comerse a la presa
Privada la mesa, solo van bellezas
Cien tragos, comienza, le gusta le mezcla y esto ya explotó, -tó, -tó (Fi-Fire!)
It's lit! (Y esto ya explotó)Embed"
Lean,2020-06-26,,"5 ContributorsLean Lyrics[Letra de ""Lean"" ft. JhonnyX]

[Intro: Natanael Cano & JhonnyX]
Nata
Boy
Ah, ah, ah (PLAY MACHINE)

[Coro: JhonnyX & Natanael Cano]
I've been driven, shit Bape
I got my lean, I got my lean
Call me later, baby
I'm ballin', yeah, with my team
Makin' moves, you play (Makin' moves, you play)
On the street, on her knees
Got your bitch, she wet me (Bitch, she wet me)
Highway says, headin' in
Bitch, you know I'm crazy (Bitch, you know I'm crazy)
Makin' moves, with the crew
This shit feel amazing (Feel amazing)
Makin' moves, makin' moves
Bitch, I had to make it (I had to make it)
I got lean, I got lean, yeah (I got lean, yeah)
Ah, I got lean, I got lean

[Verso: Natanael Cano]
Yo no sé si tú-ú-ú-ú-ú
Mañana me vuelva' a ver
Pero yo sé que enamorado ya me quedé (Enamorado ya me quedé)
Con tu piel, con tu ser, eh (Ah), eh (Ah)
Dime tú qué vas a hacer (Qué vas a hacer)
Si mañana nos volvemos a comer (Volvemos a comer)
Dime, baby, tengo lean pa' no toser (Pa' no toser)
Nomás me busca cuando quiere coger
Y tú sabes lo que yo te quiero hacer (Te quiero hacer)
Nena, por favor, ya no me hables de él (No me hables de él)
Si conmigo te la pasas siempre al cien (Siempre al cien)
Lo enrolamos pa' quemarlo en las calles de L.A (Ah, ah)
You might also like[Coro: JhonnyX & Natanael Cano]
I've been givin' some Bape
I got my lean, I got my lean
Call me later, baby
I'm ballin', yeah, with my team
Makin' moves, you play (Makin' moves, you play)
On the street, on her knees
Got your bitch, she wet me
Highway says, headin' in
Bitch, you know I'm crazy (Bitch, you know I'm crazy)
Makin' moves, with the crew
This shit feel amazing
Makin' moves, makin' moves
Bitch, I had to make it (I had to make it)
I got lean, I got lean, yeah
I got lean, I got lean, ah (I got lean, I got lean, ah)

[Outro]
PLAY MACHINEEmbed"
Golpes De La Vida,2019-12-24,,"4 ContributorsGolpes De La Vida Lyrics[Letra de ""Golpes De La Vida""]

[Intro Instrumental]

[Verso 1: Natanael Cano & Ivonne Galaz]
Los golpes de la vida fuerte son
No presumo una persona que no soy
Mi madre con su respeto me educó
De mi padre los consejos llevo yo
Recuerdo que no había ni pa' comer
Muchos tiempos difíciles enfrente
La perdida de mi madre y tropecé
Lo recuerdo como si fuera ayer

[Coro: Ivonne Galaz]
No vengo a presumirles de lo que carezco
No vengo de una familia con mucho dinero
Me enseñaron que debía salir adelante
Es difícil esta vida hay que chingarle

[Verso 2: Natanael Cano & Ivonne Galaz]
Historial limpio no ando en lo chueco
Yo lo que tengo lo gane con mucho esfuerzo
Esto no es nada es el puro comienzo
Agárrense que vamos fuerte y derecho
Único amigo el que tengo a mi lado
No me ha fallado y mucho tiempo me ha echado la mano
En la familia el que es bienvenido
Pero muy pocos han sido testigos
De lo mucho que batallamos
De lo mucho que le chingamos
Para estar en donde estamos
You might also like[Interludio: Natanael Cano & Ivonne Galaz]
Y aquí venimos con lumbre viejones
Su compa Natanael Cano (Eah)
Y su amiga Ivonne Galaz (Ay ay ay)

[Coro: Ivonne Galaz]
No vengo a presumirles de lo que carezco
No vengo de una familia con mucho dinero
Me enseñaron que debía salir adelante
Es difícil esta vida hay que chingarle

[Verso 3: Natanael Cano & Ivonne Galaz]
Le doy gracias a mi morenita
Gracias a ella ahorita estamos bien arriba
Mientras nosotros seguimos en fila
Para poder llegar hasta la cima
En la volanta en el que más confió
Porque muy pocos han sido testigos
De lo mucho que he batallado
De lo mucho que le he chingado
Para estar en donde estamos

[Outro Instrumental]Embed"
Quemando un Gallo,2019-12-24,,"3 ContributorsQuemando un Gallo Lyrics[Letra de ""Quemando Un Gallo""]

[Verso 1]
Quemando un gallo de verde
El tiempo pasa yo voy bien
Recuerdo cuando yo empecé
Mi mente en lo que quería hacer

[Pre-Coro 1]
Hoy ya no voy a parar
Sé que lo voy a lograr
Abrí mis ojos y al mirar
Donde me encuentro no es igual
Todos mis sueños voy a lograr
Aún tengo metas que saldar

[Coro]
Pero se van a acordar
Decían que no iba a triunfar
Y cuando menos se esperaban yo les pase por un lado
Ahora el trabajo es más sencillo y solito se me fue dando
Y aún esperen más que hay pa' rato y se los puedo asegurar

[Interludio]
Su compa Natanael Cano, viejones, ay, ay, ay
You might also like[Verso 2]
Recuerdo cuando yo empecé
La gente no me quería creer (Jaja)
Con la mirada pa' enfrente
Y sin rencores para que

[Pre-Coro 2]
Hoy ya no voy a parar
Sé que lo voy a lograr
Lo que pensaba me pasó
Toda esa gente me cruzó
Las metas sueños de todo
Y sigo firme donde estoy

[Coro]
Pero se van a acordar
Decían que no iba a triunfar
Y cuando menos se esperaban yo les pase por un lado
Ahora el trabajo es más sencillo y solito se me fue dando
Y aún esperen más que hay pa' rato y se los puedo asegurarEmbed"
Casa Tumbada*,,,"2 ContributorsCasa Tumbada* Lyrics[Letra de ""Casa Tumbada""]

Adelanto

[Verso]
Ya nadie lo habla, todos lo guardan
No sienten nada
Las luces me calan, las miro raras
Mesa blindada, zona asegurada
Se asocia la plebada, para seguir la tomada
En la casa tumbada

[Coro]
Desde morro fue aventado
Viejo lobo va a sus lados, sin olvidar al mayor
Por el papi nos metemos al fuego
El puesto que traigo me lo dio, yo seguiré peleando en la labor
Ya ni modo traemos refuegon, el largo y los cascos como rambon
Les vamos a dar con todoYou might also likeEmbed"
La Reina,2020-05-29,,"3 ContributorsLa Reina Lyrics[Letra de ""La Reina"" ft. René]

[Intro: Natanael Cano]
Yeah-yeah-yeah
Yeah-eh, yeah-eh-eh-ah, yeah
Play-N-Skillz

[Verso 1: Natanael Cano]
¿Por qué no lo voy hacer?
Si mañana muero no creo que vuelva a nacer
Y espero encontrarme con Dios y no con Lucifer
Dime pa' qué
Siempre me levanté de todo y aún con el tiempo vo'a caer, yah
Dime pa' qué, yah, eh
Dime pa' qué, yah
Contigo la paso chingón y a la primera cogimos los dos
Nunca te importaron las otras, solo importa cuándo nos vemo' los dos
Me encanta tu boca y la pinta de rojo, me la come y me la como
Me encanta tu boca y la pinta de rojo, me la come y me la como
Ella no es buena
Pero conmigo es alguien que no era
Le encanta besarme con todo y lengua
E' milloneta, ella es una reina, ella es una reina (Yah)

[Coro: Natanael Cano]
Prende, prende, prende el calentón
A mil por hora entramo' en acción
Con una pastilla sin color
Nos fuimo' a full, y yo le hice el amor
Y woh-oh, yah; y woh-oh, yah
Y woh-oh, yah (Rene), yah
You might also like[Verso 2: René]
Prende, enrola, no' fuimo' a vapor
Una pastilla pa' entrar en acción
Quiere sexo pero sin amor
Quitamo' esa ropa interior
Si tú supiera' to'a mis fantasías contigo
Baby, me mato contigo
En la cama tu enemigo
Pa' que te venga' conmigo
Si te mando rosa', mañana las tira', yo sé
Prefiero llenarte de besos, comprarte Gucci o Chanel
Dime pa' qué, dime pa' qué
Te compro Versace, to' lo que quieras, bebé
Enrola y la prende otra ve'
Otra de krippy y de haze (Otra de krippy y de haze)

[Puente: René]
Me encanta
La carita de santa pero es una diabla (Yah)
Me besa y siento que ella se llevó mi alma
Quiero tenerte to' los días en mi cama
Eso a mí me llama (Yah)

[Coro: Natanael Cano]
Prende, prende, prende el calentón
A mil por hora entramo' en acción
Con una pastilla sin color
Nos fuimo' a full, y yo le hice el amor
Y woh-oh, yah; y woh-oh, yah
Y woh-oh, yah, yahEmbed"
Dinero Digital,2022-04-8,,"5 ContributorsDinero Digital Lyrics[Letra de ""Dinero Digital"" ft. Badguychapo]

[Coro: Natanael Cano & Badguychapo]
Me dejaste durmiendo en el bando, durmiendo en el bando
La mochila Supreme la tengo llena de dinero sucio
Me guardo el millón, 'toy asegurando
Negocios con Jimmy, me está buscando y no para de llamar
Quiero mi dinero digital, quiero mi dinero digital, quiero mi dinero digital
Tratan de tumbarme, dejarme en el suelo, tipo una cínica
Quiero mi dinero digital, quiero mi dinero digital
Lo perdí todo joseando en el bando, fuck you la clínica
Me dejaste durmiendo en el bando, durmiendo en el bando
La mochila Supreme la tengo llena de dinero sucio (Yeah, yeah)
Escondido un millón, me 'toy asegurando
Negocios con Jimmy, me está buscando (Yeah, yeah)
Yo quiero mi dinero digital (Digital), yo quiero mi dinero digital
Yo quiero mi dinero digital (Digital)
Tratan de tumbarme, dejarme en el suelo, tipo una cínica
Yo quiero mi dinero digital (Digital), yo quiero mi dinero digital (Eh, eh)
Lo perdí todo joseando en el bando, fuck una clínica

[Verso 1: Natanael Cano & Badguychapo]
Por ti ya no pienso llorar (Ah)
Mucho menos ahora con hoes con vista al mar
Ahora me encuentro donde quiero estar
Ahora les digo que me paguen en digital, ey (Yah)
Ya no ando donde no debo de andar
No pierdo el tiempo, y ahora es regular
Cartera de Bitcoin para ir a comprar, gastarlo en la Versace
Ahora lo que vivo ya no es regular, tampoco lo que fumo es regular
La ropa más fina, como yo lo hago no debe ser legal (Ah)
Yo sé que me quieren matar, pero yo nunca los voy a dejar
Ahora le pago las fiestas en cripto, y así es regular
Ahora me miran comprando, ahora me miran montado
Ahora me miran montado y es en un Nissan (Jaja; GT)
Quiero mi dinero digital, quiero me paguen digital
Hoy quiero que me paguen en digital (Brr)
You might also like[Coro: Badguychapo]
Me dejaste durmiendo en el bando, durmiendo en el bando
La mochila Supreme la tengo llena de dinero sucio (Yeah, yeah)
Escondido un millón, me 'toy asegurando
Negocios con Jimmy, me está buscando (Yeah, yeah)
Yo quiero mi dinero digital (Digital), yo quiero mi dinero digital
Yo quiero mi dinero digital (Digital)
Tratan de tumbarme, dejarme en el suelo, tipo una cínica
Yo quiero mi dinero digital (Digital), yo quiero mi dinero digital (Eh, eh)
Lo perdí todo joseando en el bando, fuck una clínica
Me dejaste durmiendo en el bando, durmiendo en el bando

[Verso 2: Badguychapo]
Yeah, mi clica parece un ejército
Baby, más pastillas que un médico
Baby, mucha Perco, nunca están en off
Baby yo no hablo con los fede, no
No quiera' que yo me encojone, no
Ya no creo en amor, to' lo' que dicen que me aman
Siempre me fallan, dicen que por ti dan la cara
Pero tienen doble cara, so dime cuál cara
Te doy mi alma pero no tengo alma
Lleva una pistola, si no tiene bala'
Nosotro' mordemo', ustedes solo ladran
Siempre enseñan diente', pero nunca hacen nada, yeah
Mercedes negro, pero cuando ando con Nata yo ando en un Hellcat
Me gusta la guerra, pero yo nunca me escondo, yo no soy el Chema
Ya yo no quiero sentirme mal, es verdad que yo te quería
Baby, pero ya yo no te quiero má'
Pregúntale al parce, yo soy como Pablo
Somo' una mafia como los Soprano
Pregúntale a Ovi cómo ve que ando
Siempre tengo un palo adentro del carro, solo conozco sicario'
¿Qué lo qué, sicario?
No quieren problema, ellos saben que soy malo
Ellos saben que eso es raro
[Outro: Badguychapo]
Dímelo, Krizous
Yo me 'toy asegurandoEmbed"
Ahora Todo Es Diferente,2019-06-21,,"4 ContributorsAhora Todo Es Diferente Lyrics[Letra de ""Ahora Todo Es Diferente""]

[Verso 1]
Ahora el canto es diferente
No presumo de billetes pero me los sé ganar
Si no había, pues no ocupamos
Ahorita estamos bateando, simplemente es disfrutar
Zapatito Louis Vuitton que no falte
Kush en un blunt, deportivo es el que corro
Nos vamos a dar el rol, mis amigos contados lo son
Sin problemas solucionó
Bien vestido y va con clase, son palabras importantes
En la empresa familiar
Manejamos un producto, yo no digo, lo disfruto
Y hoy me quiero celebrar
En un fino restaurant no ocupo botellas de champagne
Y en Hermosillo pa' celebrar
Sin radio, su celular con las personas que quiere estar
Y la fiesta apenas va a empezar, ¡ea!

[Verso 2]
Me divierto aunque les pese
Mis acciones son coherentes y no me gusta hablar mal
No quemamos de la verde, tampoco tomamos cheve
Simplemente es disfrutar
Nos vamos a la ExpoGan, los caballos se gana el Gaspar
Y la fiesta apenas va empezar
Sin radio, su celular con las personas que quiere estar
Y así me la paso a todo dar
Me despido, mucho gusto, sin nombres, duerman a gusto
Nos vamos a retirar
Mi familia es lo primero, por ellos yo brinco el cuero
Y esto apenas va empezar
Zapatito Louis Vuitton que no falte
Kush en un blunt, deportivo es el que corro
Nos vamos a dar el rol, mis amigos contados lo son
Sin problemas soluciono, eaYou might also likeEmbed"
El Cazador,2019-11-1,,"6 ContributorsEl Cazador Lyrics[Letra de ""El Cazador""]

Y si ocupan más de uno
Para tumbarme y les digo
Saben que altar es mi casa
Y el cazador anda al tiro
Ideales fui formando
Y con ellos tira casquillos

Bien graduado de la escuela
Para los altos fusiles
En el cinto la que luce
3-8 sus proyectiles
Blindadas verán por brechas
Cazando a los chapulines

Hay recuerdos de un gran hombre
Que ya no se encuentra en vida
El quince ya muy mencionado
Dejaste una gran herida
Sin olvidarme del cabe
Se le extraña y se le estima

Su legado sigue activo
Y sigue operando la línea
La clika de los paletas
Todos con el tiro arriba
Y al que me ande con mamadas
Lo mando pa' la otra vida, ea
You might also likeQue si salí de las calles
Eso no me hace corriente
Ya le batalle bastante
Pa' estar donde todos quieren
Treinta trocas mi comando
Y el desierto está caliente

Para tratar hay palabra
Y mi palabra la respetan
Para resolver problemas
Conozco muchas maneras
Quien quiere invadir terreno
Pa' contarlo no regresa

El ojo tengo en la mira
Y mi objetivo no descuido
Traigo muy buenos soldados
Con ellos agradecido
Nadie la piensa dos veces
Para jalarle al gatillo

La vida me ha bendecido
Con la familia que tengo
Por ellos me la he rifado
Que sepan cuanto los quiero
Y por donde quiera que yo ando
Aquí en el corazón los llevoEmbed"
Los Tigres Mandan,2020-12-18,,"5 ContributorsLos Tigres Mandan Lyrics[Letra de ""Los Tigres Mandan""]

[Verso 1]
Y me la paso siempre tranquilo
Con el gallo en la mano y pensando
Cómo seguir mandando paquetes
Si todo me lo han tumbado
Son los pininos, son los comienzos
De alguien que le ha batallado
Si aprendiendo clavos y traslados
Trailers con rama bajaron

[Coro 1]
En un Mercedes, comprado to' en efectivo
Por el Eleven me la paso amanecido

[Verso 2]
Nomás llegaban de 15 a 20
Después llegaron 200
Y así mismo el poder aumentaba
Y la envidia por supuesto
Que se arrimaban y me buscaban
Porque me veían contento
Y en la manzana no tenía nada
Solo cambiamos el puesto
You might also like[Coro 2]
Y en un yate, con par de diez que amarrados
Con un bate y una Barrett en la mano

[Interludio]
Y puros corridos tumbados, viejones, ¡ea!
Compa Chaco

[Verso 3]
Ya me despido, sigo chambeando
Aquí les dejo el corrido
Yo mismo lo mandé a hacer de encargo
Pa' mi gente y pa' los míos
Entra si quieres y sal si puedes
Cartel Agua sigue activo
Los tigres mandan, no se me apagan
Escuchando este corrido

[Coro 3]
Y en Miami, un Jägermeister en la mano
Así es aquí, y el cuerno cortito a un ladoEmbed"
Rip Charrito,2022-02-22,,"5 ContributorsRip Charrito Lyrics(Intro)

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venias de nadie y ve como cambiaste

(Verse 1)

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venias de nadie y ve como cambiaste

Carro nuevo todo nuevo eso que importa
Disfruto la vida y es lo que me toca
Con mujeres me la paso a ti la loca
Te deja encerrado por que se te enoja

(Verse 2)

Arriba de dos tres carros
Todos polarizados
La baby no se sube si no esta bien controlado
Fiesta, drogas, gente, armas eso le gusta
Quien soy yo para decirle que me asusta
Para ti ya no hay subida te quedaste
Te tumbe la película ya ni cantes
Con corona o sin corona me mamaste
Mi charrito mejor vente pa trozarte
You might also like(Verse 3)

Cambiaste a tus amigos por dos pendejos
Te combertiste en payaso y saben eso
Que me envidien es normal pero lo siento
Yo siempre fui la estrella del movimiento

Carro nuevo todo nuevo eso que importa
Disfruto la vida y es lo que me toca
Con mujeres me la paso a ti la loca
Te deja encerrado por que se te enoja

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venias de nadie y ve como cambiaste

Arriba de dos tres carros
Todos polarizados
La baby no se sube si no esta bien controlado
Fiesta, drogas, gente, armas eso le gusta
Quien soy yo para decirle que me asusta

(Outro)

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venias de nadie y ve como cambiaste
Carro nuevo todo nuevo eso que importa
Disfruto la vida y es lo que me toca
Con mujeres me la paso a ti la loca
Te deja encerrado por que se te enojaEmbed"
Buenos Ratos,2019-10-31,,"4 ContributorsBuenos Ratos Lyrics[Natanael Cano:]
Ahora venimos con todo y vengo más preparado no quiero acercarse tanto porque suenan los disparos

[Junior H:]
No intenten meterse mucho ni cruzarse pa' este lado no saben lo que este loco les tiene bien preparados

[Natanael Cano:]
Me critican porque fumo a cada rato no me importa lo que digan los gatos

[Junior H:]
Mientras ustedes de mi siguen hablando me preocupan mas por tirar el humo

[Natanael Cano:]
Otro viajé exótico estoy preparando con la gente que a mi me acompaño

[Junior H:]
Buena vida buen momento buenos ratos relajado me la paso siempre en el avión

[Natanael Cano:]
Quieren agarrar mi escuela pero siguen confundidos no saben que esto es talento con un poco más de brillo

[Junior H:]
Que importan las malas vibras si así me gusto mi estilo voy a seguir produciendo y hacer más largo el camino

[Natanael Cano:]
Me critican porque traigo el doble vaso no critican lo que ya les cante
You might also like[Junior H:]
Muy agusto en el trabajo me la paso ruleteando por las calles de L.A

[Natanael Cano:]
A veces dejo chimisco en el relajo eso lo hago nomas pa’ verme bien

[Junior H:]
Me despido voy a relajarme un rato préndanlo para que zumba también1Embed"
Platicame de Ti,2018-09-20,,"2 ContributorsPlaticame de Ti Lyrics[Letra de ""Platícame de Ti""]

[Verso 1]
Que si ando cansado
Que si no tengo sueño
Pues la neta, yo sin duda me desvelo
Si es por estar junto a ti

[Coro]
Me amanezco, que venga el sol
Que pregúntame de mí
Que platícame de ti
De tus gustos, pasatiempos favoritos
Quiero saber más de ti
Cuéntame bien de tu interés

[Interludio Instrumental]

[Verso 2]
Que has sufrido en el amor
Que te han hecho daño
Aquí estoy pa' que platiques de tus penas
Te ayudaré a olvidar

[Coro]
Quiero curar tus heridas
Que te hago sonreír
Que sientes algo por mí
Que te gusta mi manera 'e cómo hablo
Conquistaré y serás
Te entregarás, serás míaYou might also likeEmbed"
